correct_word,correct_word_similarity,top_minus_correct_similarity,similarity_index
iraq,0.6123517751693726,0.0609813928604126,49
thailand,0.7244420051574707,0.05084460973739624,49
china,0.6322808265686035,0.008853018283843994,1
germany,0.6421263813972473,0.0,0
switzerland,0.6686825752258301,0.045616984367370605,49
egypt,0.650015115737915,0.007647871971130371,3
australia,0.6298187971115112,0.04559814929962158,49
vietnam,0.6798086166381836,0.05071461200714111,49
cuba,0.6353467702865601,0.10423600673675537,49
finland,0.6372685432434082,0.06742560863494873,49
pakistan,0.725849986076355,0.024280071258544922,49
afghanistan,0.6429147720336914,0.055346012115478516,49
england,0.4583328068256378,0.06286147236824036,49
spain,0.5608238577842712,0.08161062002182007,30
russia,0.6793683767318726,0.0,0
norway,0.6443359851837158,0.06551337242126465,32
canada,0.6482058763504028,0.049842119216918945,49
france,0.6353771686553955,0.0,0
italy,0.6027796268463135,0.0,0
sweden,0.6836589574813843,0.0,0
iran,0.659821629524231,0.0629158616065979,49
japan,0.5671672224998474,0.07182252407073975,31
thailand,0.6927999258041382,0.02812039852142334,49
china,0.5663747787475586,0.07614541053771973,1
germany,0.591032862663269,0.0,0
switzerland,0.6074926257133484,0.05969876050949097,49
egypt,0.6170778274536133,0.0388028621673584,5
australia,0.6016150712966919,0.06600594520568848,49
vietnam,0.728131890296936,0.00037360191345214844,1
cuba,0.613409161567688,0.05894416570663452,19
finland,0.5768043398857117,0.04143279790878296,49
pakistan,0.709587812423706,0.02458977699279785,49
afghanistan,0.629555344581604,0.053615450859069824,36
england,0.40342965722084045,0.06352367997169495,49
spain,0.527703046798706,0.04681593179702759,49
russia,0.5958678126335144,0.04704838991165161,12
norway,0.5870237350463867,0.08259844779968262,49
canada,0.5938639640808105,0.055569350719451904,49
france,0.5659386515617371,0.0,0
italy,0.5277106165885925,0.04427969455718994,49
sweden,0.594245195388794,0.01959073543548584,12
iran,0.6176317930221558,0.07142019271850586,49
japan,0.5170926451683044,0.0665578842163086,49
greece,0.5651472806930542,0.0,0
china,0.5723578929901123,0.0,0
germany,0.5305699706077576,0.0,0
switzerland,0.606311559677124,0.08530473709106445,49
egypt,0.6324424147605896,0.0,0
australia,0.5849381685256958,0.06727582216262817,49
vietnam,0.6474328637123108,0.08535689115524292,47
cuba,0.5911364555358887,0.06773489713668823,42
finland,0.5632897019386292,0.09051370620727539,49
pakistan,0.66938316822052,0.08106696605682373,49
afghanistan,0.6165323257446289,0.06370586156845093,12
england,0.38665759563446045,0.03552210330963135,2
spain,0.5254191160202026,0.03811371326446533,10
russia,0.6017482280731201,0.0,0
norway,0.6059458255767822,0.09241199493408203,49
canada,0.5971387624740601,0.06779086589813232,49
france,0.5849295854568481,0.0,0
italy,0.5066052079200745,0.05857992172241211,6
sweden,0.6236468553543091,0.03727614879608154,4
iran,0.6562823057174683,0.071083664894104,9
japan,0.573850691318512,0.0,0
greece,0.5880157947540283,0.007796943187713623,2
iraq,0.5433629751205444,0.11298036575317383,43
germany,0.6150451898574829,0.0,0
switzerland,0.6358833312988281,0.06541526317596436,49
egypt,0.6882781982421875,0.0,0
australia,0.6231458783149719,0.061472296714782715,21
vietnam,0.6872822046279907,0.04479575157165527,47
cuba,0.6366060972213745,0.023272395133972168,8
finland,0.6249485015869141,0.05455964803695679,49
pakistan,0.7072027921676636,0.04801654815673828,49
afghanistan,0.6617698073387146,0.07404810190200806,49
england,0.4936011731624603,0.08823636174201965,3
spain,0.5718833208084106,0.05172836780548096,49
russia,0.6493214964866638,0.0,0
norway,0.6199080348014832,0.05390089750289917,49
canada,0.6195106506347656,0.06681329011917114,42
france,0.6330304145812988,0.0,0
italy,0.5604277849197388,0.048058152198791504,49
sweden,0.6240048408508301,0.01574087142944336,4
iran,0.6398758888244629,0.06094944477081299,49
japan,0.6661521196365356,0.0,0
greece,0.6554573774337769,0.0,0
iraq,0.6418076157569885,0.06698787212371826,49
thailand,0.70906001329422,0.03893035650253296,49
switzerland,0.6767350435256958,0.014081358909606934,3
egypt,0.6425752639770508,0.012476086616516113,1
australia,0.6342427730560303,0.06414484977722168,31
vietnam,0.6755127906799316,0.0439489483833313,49
cuba,0.6145414113998413,0.06676554679870605,49
finland,0.6230785250663757,0.06975406408309937,49
pakistan,0.7229893803596497,0.05485844612121582,49
afghanistan,0.6486666202545166,0.05852770805358887,49
england,0.6044185757637024,0.0,0
spain,0.6168242692947388,0.01731044054031372,2
russia,0.6799303293228149,0.0,0
norway,0.6964706182479858,0.024252355098724365,3
canada,0.6266893744468689,0.05788809061050415,49
france,0.7299614548683167,0.0,0
italy,0.6517729759216309,0.0,0
sweden,0.6978937387466431,0.0,0
iran,0.6457768678665161,0.05878031253814697,49
japan,0.6053267121315002,0.014189720153808594,3
greece,0.6798130869865417,0.0,0
iraq,0.616255521774292,0.02812063694000244,49
thailand,0.7182992696762085,0.025520145893096924,49
china,0.6038234829902649,0.04073995351791382,4
egypt,0.5846254229545593,0.030322372913360596,1
australia,0.5492188930511475,0.06691449880599976,49
vietnam,0.6239643096923828,0.06529545783996582,49
cuba,0.6044039726257324,0.03151577711105347,3
finland,0.6290504932403564,0.029476642608642578,3
pakistan,0.6728271245956421,0.04595983028411865,49
afghanistan,0.5596504211425781,0.05305391550064087,49
england,0.3906231224536896,0.13583078980445862,49
spain,0.5645146369934082,0.022285640239715576,2
russia,0.5722100734710693,0.0187532901763916,2
norway,0.6229668855667114,0.05120956897735596,5
canada,0.5803366303443909,0.07960373163223267,49
france,0.6214812994003296,0.0,0
italy,0.5914812684059143,0.0,0
sweden,0.7097153663635254,0.0,0
